gene,n_isoforms,pval_ref,pval_local,pval_official_match,stat_local,stat_official,hsic_trace,log10_diff_local,log10_diff_official,abs_diff
AP1S2,4,0.0048610025846625,0.00042537274566102905,0.000446259038320362,2.559482300350912e-05,2.559482300350912e-05,125.1208297439374,-1.0579561915063471,-1.0371388267898056,1.0579561915063471
BCOR,2,0.8292516242137656,0.8281235142562089,0.8311105810583759,4.8298935714139e-06,4.8298935714139e-06,23.61103615162185,-0.000591214377284488,0.0009724806243905926,0.000591214377284488
MED14,2,0.8994195080411429,0.8682223707226163,0.8707762691454414,6.899476334919919e-06,6.899476334919919e-06,33.72823495225906,-0.015331331272710025,-0.014055718095855485,0.015331331272710025
ZDHHC9,2,0.1892308744663232,0.2686096990476279,0.2719540482364355,4.2342582850607454e-06,4.2342582850607454e-06,20.699260545943442,0.15212969394669074,0.15750353167518238,0.15212969394669074
XIST,4,0.0006640419465662,0.0002895178906178931,0.0003006697100882221,8.287238573476069e-06,8.287238573476069e-06,40.512339798447805,-0.3605201080768201,-0.344105835151741,0.3605201080768201
LINC01278,2,0.1320177140641504,0.1608014283452217,0.16321506156538954,4.155652365662097e-06,4.155652365662097e-06,20.31499385823884,0.08565769361187214,0.092128024663372,0.08565769361187214
LINC03070,2,0.2887916907692263,0.11502293789256397,0.11691811700870369,2.9475277927744064e-06,2.9475277927744064e-06,14.409051513061334,-0.3998002373167192,-0.3927028810455683,0.3998002373167192
SLC25A53,2,0.140261691545645,0.24780201231760188,0.2509949044143467,2.3321553059479415e-06,2.3321553059479415e-06,11.400790188387937,0.2471657566614578,0.2527258325655708,0.2471657566614578
PHF20,4,0.8525395422131807,0.8223484133364054,0.8268988985678568,1.2482733591242508e-05,1.2482733591242508e-05,61.02210529819442,-0.015658672619826647,-0.013262117989496947,0.015658672619826647
ITCH,3,0.8180611247902089,0.7955978103779237,0.7999481364744515,5.8997832032048845e-06,5.8997832032048845e-06,28.841214084314345,-0.012092175775215194,-0.009723923950543459,0.012092175775215194
DLGAP4,3,0.1929688399615902,0.11162040857593024,0.11404266085626112,1.2486255262860681e-05,1.2486255262860681e-05,61.039321063854956,-0.23774357820148972,-0.22841984431523887,0.23774357820148972
TPX2,2,0.4047234449837673,0.3820379986058744,0.38599964542851284,2.809894716367645e-06,2.809894716367645e-06,13.736229328752277,-0.02505180185993716,-0.0205714573692673,0.02505180185993716
